"id","clave","nombre","numeroLatitud","numeroLongitud","numeroAltitud","claveCarta","entidades_id","municipios_id","created_at","updated_at","deleted_at"
"11074","0302","El Campo","165808.004","914041.988","647","E15D54","7","59",,,
"11075","0306","Amaytic","170400.698","914440.325","1032","E15D44","7","59",,,
"11076","0307","Cuauhtémoc","170726.086","914154.555","648","E15D44","7","59",,,
"11077","0310","Taquintón","170502.004","914006.996","759","E15D44","7","59",,,
"11078","0314","San Jacinto","165321.984","910345","120","E15D56","7","59",,,
"11079","0326","Tierra Blanca","164250.468","914332.907","909","E15D64","7","59",,,
"11080","0328","San Alejandro","164216.992","914202.016","827","E15D64","7","59",,,
"11081","0330","Nuevo Jataté","164712.012","920808.016","1217","E15D53","7","59",,,
"11082","0332","Nueva Providencia","165217.561","920203.576","856","E15D53","7","59",,,
"11083","0335","San Nicolás Tenanguito","165631.992","920915.012","966","E15D53","7","59",,,
"11084","0341","Patria Nueva (San José el Contento)","165540.882","920649.147","890","E15D53","7","59",,,
"11085","0344","Nuevo Guadalupe","165527.984","915652.008","917","E15D54","7","59",,,
"11086","0345","La Reforma","165728.008","915356.004","760","E15D54","7","59",,,
"11087","0348","Santo Ton","165613.992","915317.016","843","E15D54","7","59",,,
"11088","0349","Santa Cruz","164851.984","915030.012","823","E15D54","7","59",,,
"11089","0357","Río Blanco","164945.984","915505.016","856","E15D54","7","59",,,
"11090","0369","Santa Martha","165200.984","921014.016","1371","E15D53","7","59",,,
"11091","0374","Taniperla","164919.992","913123.988","640","E15D55","7","59",,,
"11092","0377","Ujcumilja","165514","921023","1760","E15D53","7","59",,,
"11093","0378","Lucumilja","165558.008","921245","1614","E15D53","7","59",,,
"11094","0379","La Virginia","165239","921027.984","1440","E15D53","7","59",,,
"11095","0381","San Juan del Río","165438.299","921956.825","884","E15D53","7","59",,,
"11096","0383","Fracción la Frontera","165545.012","921730.012","1043","E15D53","7","59",,,
"11097","0395","Jol Tulijá","171019.992","914234.992","485","E15D44","7","59",,,
"11098","0399","Guadalupe","164837.008","914023.016","520","E15D54","7","59",,,
"11099","0405","Agua Dulce Tehuacan","170404.008","913503.012","670","E15D45","7","59",,,
"11100","0410","Laguna Santa Elena","163605.358","913003.377","820","E15D65","7","59",,,
"11101","0416","Ojo de Agua","170339.996","912900.996","438","E15D45","7","59",,,
"11102","0417","San Javier","164757.012","910620.988","378","E15D56","7","59",,,
"11103","0418","Nueva Palestina","164902","911536","540","E15D56","7","59",,,
"11104","0422","El Guanal","163338.793","912141.705","332","E15D65","7","59",,,
"11105","0431","Frontera Corozal","164916","905325","100","E15D57","7","59",,,
"11106","0439","Miguel Hidalgo","170150.988","914242.984","1041","E15D44","7","59",,,
"11107","0440","Ramón F. Balboa","162818.012","912411.016","222","E15D75","7","59",,,
"11108","0442","El Silencio","170624.012","914037.992","657","E15D44","7","59",,,
"11109","0445","Francisco Guerrero","170747.426","912914.352","440","E15D45","7","59",,,
"11110","0453","El Carmen","165948.012","915544.004","876","E15D54","7","59",,,
"11111","0455","San Antonio Tijuana","165612.012","914546.008","700","E15D54","7","59",,,
"11112","0459","Santo Domingo","170132.988","912504.008","440","E15D45","7","59",,,
"11113","0475","San Martín","165437.008","913642.012","700","E15D55","7","59",,,
"11114","0482","Buenavista","165500.012","914416.008","620","E15D54","7","59",,,
"11115","0484","La Florida","164829.016","921108.988","1227","E15D53","7","59",,,
"11116","0494","La Zarca","162557","912438.988","218","E15D75","7","59",,,
"11117","0507","Francisco Villa","164812.538","913843.94","532","E15D55","7","59",,,
"11118","0511","Chamomún","165124.984","915957.012","894","E15D54","7","59",,,
"11119","0512","El Jardín","165812","913151.996","848","E15D55","7","59",,,
"11120","0519","Carmen Patate Nuevo","164820.988","915317.016","877","E15D54","7","59",,,
"11121","0520","San Juan","165615","914224.012","1037","E15D54","7","59",,,
"11122","0550","Benito Juárez Miramar","162243.9","911224.75","239","E15D76","7","59",,,
"11123","0553","Nuevo Tumbalá","165857","911433","353","E15D56","7","59",,,
"11124","0554","San Martín","165639.984","913713.008","895","E15D55","7","59",,,
"11125","0563","El Rosario","164619.992","913915.012","564","E15D55","7","59",,,
"11126","0568","Boca Lacantún","163453.004","904202.988","120","E15D67","7","59",,,
"11127","0569","Bonampak [Zona Arqueológica]","164225.992","910348.996","303","E15D66","7","59",,,
"11128","0573","Carmen Laltic","165259.988","920323.004","839","E15D53","7","59",,,
"11129","0575","El Censo","165142.984","913338.988","680","E15D55","7","59",,,
"11130","0577","Crucero Corozal","164543.992","910025.992","151","E15D56","7","59",,,
"11131","0581","Chuncerro la Laguna","162021.907","911221.161","220","E15D76","7","59",,,
